onset	duration	trial_type	response	stimulus	response_time	points_earned	iti_start_time	iti_length
0.0	3.333	stim_presentation	n/a	2.0	n/a	n/a	1011.78	0.562
1.389	4.722	response	2	2.0	1389	0	1011.78	0.562
5.913	2.683	stim_presentation	n/a	3.0	n/a	n/a	1017.042	1.98
7.112	3.882	response	2	3.0	1199	0	1017.042	1.98
12.593	2.565	stim_presentation	n/a	1.0	n/a	n/a	1023.605	1.348
13.561	3.533	response	1	1.0	968	5	1023.605	1.348
18.523	2.808	stim_presentation	n/a	4.0	n/a	n/a	1029.778	0.597
20.163	4.448	response	2	4.0	1640	0	1029.778	0.597
23.945	2.866	stim_presentation	n/a	3.0	n/a	n/a	1035.258	1.862
25.195	4.116	response	1	3.0	1250	100	1035.258	1.862
30.69	2.698	stim_presentation	n/a	1.0	n/a	n/a	1041.835	2.445
31.591	3.599	response	1	1.0	901	5	1041.835	2.445
37.85	3.062	stim_presentation	n/a	4.0	n/a	n/a	1049.359	2.74
38.527	3.739	response	2	4.0	677	0	1049.359	2.74
45.668	3.266	stim_presentation	n/a	3.0	n/a	n/a	1057.381	1.414
47.152	4.75	response	1	3.0	1484	-10	1057.381	1.414
52.365	2.616	stim_presentation	n/a	4.0	n/a	n/a	1063.428	2.796
53.225	3.476	response	2	4.0	860	0	1063.428	2.796
59.794	2.665	stim_presentation	n/a	3.0	n/a	n/a	1070.906	3.059
60.718	3.589	response	1	3.0	924	-10	1070.906	3.059
67.535	2.934	stim_presentation	n/a	3.0	n/a	n/a	1078.916	1.357
68.382	3.781	response	2	3.0	847	0	1078.916	1.357
73.843	3.759	stim_presentation	n/a	4.0	n/a	n/a	1086.049	3.568
74.654	4.57	response	1	4.0	811	10	1086.049	3.568
83.186	3.329	stim_presentation	n/a	3.0	n/a	n/a	1094.962	1.388
84.23	4.373	response	2	3.0	1044	0	1094.962	1.388
89.92	2.561	stim_presentation	n/a	2.0	n/a	n/a	1100.928	0.692
91.356	3.997	response	1	2.0	1436	-5	1100.928	0.692
95.189	2.579	stim_presentation	n/a	2.0	n/a	n/a	1106.215	0.81
97.766	5.156	response	0	2.0	2577	0	1106.215	0.81
100.6	2.99	stim_presentation	n/a	1.0	n/a	n/a	1112.036	2.219
103.589	5.979	response	0	1.0	2989	0	1112.036	2.219
107.825	2.769	stim_presentation	n/a	2.0	n/a	n/a	1119.041	2.414
108.669	3.613	response	2	2.0	844	0	1119.041	2.414
115.024	2.555	stim_presentation	n/a	2.0	n/a	n/a	1126.025	0.747
115.924	3.455	response	1	2.0	900	-5	1126.025	0.747
120.341	2.678	stim_presentation	n/a	2.0	n/a	n/a	1131.466	2.296
121.788	4.125	response	2	2.0	1447	0	1131.466	2.296
127.331	2.785	stim_presentation	n/a	2.0	n/a	n/a	1138.562	1.29
128.191	3.645	response	2	2.0	860	0	1138.562	1.29
133.422	4.524	stim_presentation	n/a	1.0	n/a	n/a	1146.393	3.187
134.169	5.271	response	1	1.0	747	5	1146.393	3.187
143.15	2.789	stim_presentation	n/a	1.0	n/a	n/a	1154.386	1.427
143.997	3.636	response	1	1.0	847	5	1154.386	1.427
149.383	2.579	stim_presentation	n/a	4.0	n/a	n/a	1160.409	0.991
151.717	4.913	response	1	4.0	2334	-100	1160.409	0.991
154.971	2.902	stim_presentation	n/a	3.0	n/a	n/a	1166.32	1.738
156.684	4.615	response	2	3.0	1713	0	1166.32	1.738
161.63	3.645	stim_presentation	n/a	1.0	n/a	n/a	1173.722	0.854
165.273	7.288	response	0	1.0	3643	0	1173.722	0.854
168.146	3.489	stim_presentation	n/a	3.0	n/a	n/a	1180.082	1.405
168.542	3.885	response	1	3.0	396	-10	1180.082	1.405
175.058	2.599	stim_presentation	n/a	2.0	n/a	n/a	1186.103	0.978
176.104	3.645	response	2	2.0	1046	0	1186.103	0.978
180.65	2.503	stim_presentation	n/a	4.0	n/a	n/a	1191.601	0.574
181.48	3.333	response	1	4.0	830	10	1191.601	0.574
185.745	2.889	stim_presentation	n/a	4.0	n/a	n/a	1197.081	1.461
186.329	3.473	response	1	4.0	584	10	1197.081	1.461
192.113	2.571	stim_presentation	n/a	4.0	n/a	n/a	1203.131	2.058
192.859	3.317	response	1	4.0	746	-100	1203.131	2.058
